owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
codecrafters-io,build-your-own-x,474772,2018-05-09T12:03:18Z,2026-03-13T17:56:11Z,Markdown,155,0,890,653
sindresorhus,awesome,445212,2014-07-11T13:42:37Z,2026-03-13T17:52:34Z,,694,0,366,350
freeCodeCamp,freeCodeCamp,438084,2014-12-24T17:49:19Z,2026-03-13T17:55:29Z,TypeScript,27803,0,21168,21024
public-apis,public-apis,409184,2016-03-20T23:49:42Z,2026-03-13T17:58:31Z,Python,1872,0,841,832
EbookFoundation,free-programming-books,383948,2013-10-11T06:50:37Z,2026-03-13T17:50:43Z,Python,7337,0,1264,1228
kamranahmedse,developer-roadmap,350830,2017-03-15T13:45:52Z,2026-03-13T17:33:36Z,TypeScript,4093,1,3091,3083
donnemartin,system-design-primer,338716,2017-02-26T16:15:28Z,2026-03-13T17:47:55Z,Python,208,0,360,116
jwasham,coding-interview-university,337789,2016-06-06T02:34:12Z,2026-03-13T17:56:51Z,,415,0,526,454
openclaw,openclaw,310417,2025-11-24T10:16:47Z,2026-03-13T17:58:19Z,TypeScript,3188,66,18561,11169
vinta,awesome-python,286952,2014-06-27T21:00:06Z,2026-03-13T17:49:35Z,Python,642,0,0,0
awesome-selfhosted,awesome-selfhosted,279717,2015-06-01T02:33:17Z,2026-03-13T17:50:29Z,,2395,1,807,807
996icu,996.ICU,275754,2019-03-26T07:31:14Z,2026-03-13T16:53:13Z,,1072,0,0,0
practical-tutorials,project-based-learning,260869,2017-04-12T05:07:46Z,2026-03-13T17:43:15Z,,182,0,227,82
facebook,react,243899,2013-05-24T16:15:54Z,2026-03-13T17:46:09Z,JavaScript,12784,118,14398,13590
torvalds,linux,222554,2011-09-04T22:48:12Z,2026-03-13T17:53:25Z,C,0,0,0,0
TheAlgorithms,Python,218571,2016-07-16T09:44:01Z,2026-03-13T17:46:05Z,Python,3069,0,1705,1540
vuejs,vue,209977,2013-07-29T03:24:51Z,2026-03-13T17:55:49Z,TypeScript,1136,249,10028,9669
trimstray,the-book-of-secret-knowledge,209871,2018-06-23T10:43:14Z,2026-03-13T17:49:39Z,,122,0,0,0
ossu,computer-science,202333,2014-05-04T00:18:39Z,2026-03-13T17:15:51Z,HTML,305,0,669,655
trekhleb,javascript-algorithms,195749,2018-03-24T07:47:04Z,2026-03-13T17:21:20Z,JavaScript,304,0,372,234
tensorflow,tensorflow,194128,2015-11-07T01:19:20Z,2026-03-13T17:19:25Z,C++,42660,222,41219,40306
ohmyzsh,ohmyzsh,185308,2009-08-28T18:15:37Z,2026-03-13T17:46:17Z,Shell,3520,0,5036,4893
getify,You-Dont-Know-JS,184500,2013-11-16T02:37:24Z,2026-03-13T17:19:58Z,,370,0,949,949
CyC2018,CS-Notes,183922,2018-02-13T14:56:24Z,2026-03-13T17:02:38Z,,374,0,578,449
microsoft,vscode,182605,2015-09-03T20:23:38Z,2026-03-13T17:49:03Z,TypeScript,43646,199,233654,219726
Significant-Gravitas,AutoGPT,182435,2023-03-16T09:21:07Z,2026-03-13T17:56:26Z,Python,4023,95,3746,3516
jackfrued,Python-100-Days,179581,2018-03-01T16:05:52Z,2026-03-13T17:24:51Z,Jupyter Notebook,13,0,711,188
n8n-io,n8n,178965,2019-06-22T09:24:21Z,2026-03-13T17:53:31Z,TypeScript,14284,556,8324,7876
flutter,flutter,175543,2015-03-06T22:54:58Z,2026-03-13T17:58:31Z,Dart,47055,7,112589,100397
twbs,bootstrap,174069,2011-07-29T21:19:00Z,2026-03-13T17:12:19Z,MDX,9140,94,22850,22543
github,gitignore,172961,2010-11-08T20:17:14Z,2026-03-13T17:41:01Z,,1727,0,0,0
massgravel,Microsoft-Activation-Scripts,168653,2020-01-12T23:03:34Z,2026-03-13T17:48:39Z,Batchfile,6,29,914,913
avelino,awesome-go,167262,2014-07-06T13:42:15Z,2026-03-13T17:55:04Z,Go,3622,0,728,713
ollama,ollama,164968,2023-06-26T19:39:32Z,2026-03-13T17:57:21Z,Go,3101,190,9568,7570
AUTOMATIC1111,stable-diffusion-webui,161668,2022-08-22T14:05:26Z,2026-03-13T17:58:41Z,Python,1884,27,7891,5487
