owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
codecrafters-io,build-your-own-x,472543,2018-05-09T12:03:18Z,2026-03-05T23:39:47Z,Markdown,155,0,888,653
sindresorhus,awesome,442885,2014-07-11T13:42:37Z,2026-03-05T23:44:46Z,,694,0,365,349
freeCodeCamp,freeCodeCamp,437811,2014-12-24T17:49:19Z,2026-03-05T23:42:54Z,TypeScript,27772,0,21154,20978
public-apis,public-apis,404538,2016-03-20T23:49:42Z,2026-03-05T23:45:09Z,Python,1872,0,839,833
EbookFoundation,free-programming-books,383636,2013-10-11T06:50:37Z,2026-03-05T23:10:15Z,Python,7328,0,1263,1227
kamranahmedse,developer-roadmap,350254,2017-03-15T13:45:52Z,2026-03-05T23:38:57Z,TypeScript,4073,1,3085,3054
jwasham,coding-interview-university,337614,2016-06-06T02:34:12Z,2026-03-05T23:13:38Z,,415,0,525,454
donnemartin,system-design-primer,337393,2017-02-26T16:15:28Z,2026-03-05T23:42:24Z,Python,203,0,360,110
vinta,awesome-python,285755,2014-06-27T21:00:06Z,2026-03-05T23:40:36Z,Python,641,0,0,0
awesome-selfhosted,awesome-selfhosted,277555,2015-06-01T02:33:17Z,2026-03-05T23:45:09Z,,2395,1,807,807
996icu,996.ICU,275650,2019-03-26T07:31:14Z,2026-03-05T22:52:36Z,,1072,0,0,0
openclaw,openclaw,265335,2025-11-24T10:16:47Z,2026-03-05T23:44:55Z,TypeScript,2744,59,15375,10022
practical-tutorials,project-based-learning,260283,2017-04-12T05:07:46Z,2026-03-05T23:41:55Z,,182,0,227,82
facebook,react,243639,2013-05-24T16:15:54Z,2026-03-05T23:18:00Z,JavaScript,12774,118,14385,13576
torvalds,linux,221046,2011-09-04T22:48:12Z,2026-03-05T23:22:22Z,C,0,0,0,0
TheAlgorithms,Python,218369,2016-07-16T09:44:01Z,2026-03-05T23:38:17Z,Python,3046,0,1702,1540
vuejs,vue,209956,2013-07-29T03:24:51Z,2026-03-05T23:17:56Z,TypeScript,1136,249,10027,9668
trimstray,the-book-of-secret-knowledge,208819,2018-06-23T10:43:14Z,2026-03-05T23:40:34Z,,122,0,0,0
ossu,computer-science,202145,2014-05-04T00:18:39Z,2026-03-05T23:44:52Z,HTML,305,0,666,654
trekhleb,javascript-algorithms,195733,2018-03-24T07:47:04Z,2026-03-05T23:06:35Z,JavaScript,304,0,371,233
tensorflow,tensorflow,194007,2015-11-07T01:19:20Z,2026-03-05T23:38:19Z,C++,42328,221,41195,40300
ohmyzsh,ohmyzsh,185130,2009-08-28T18:15:37Z,2026-03-05T22:58:04Z,Shell,3515,0,5034,4891
getify,You-Dont-Know-JS,184462,2013-11-16T02:37:24Z,2026-03-05T23:44:57Z,,370,0,949,949
CyC2018,CS-Notes,183818,2018-02-13T14:56:24Z,2026-03-05T16:40:25Z,,374,0,578,449
microsoft,vscode,182325,2015-09-03T20:23:38Z,2026-03-05T23:25:53Z,TypeScript,43326,197,232190,218766
Significant-Gravitas,AutoGPT,182202,2023-03-16T09:21:07Z,2026-03-05T21:56:15Z,Python,3970,94,3738,3505
jackfrued,Python-100-Days,179312,2018-03-01T16:05:52Z,2026-03-05T20:48:47Z,Jupyter Notebook,13,0,711,188
n8n-io,n8n,177758,2019-06-22T09:24:21Z,2026-03-05T23:27:54Z,TypeScript,14089,547,8222,7746
flutter,flutter,175436,2015-03-06T22:54:58Z,2026-03-05T22:49:16Z,Dart,46931,7,112443,100282
twbs,bootstrap,174024,2011-07-29T21:19:00Z,2026-03-05T23:07:25Z,MDX,9114,94,22848,22458
github,gitignore,172833,2010-11-08T20:17:14Z,2026-03-05T23:29:11Z,,1727,0,0,0
massgravel,Microsoft-Activation-Scripts,167799,2020-01-12T23:03:34Z,2026-03-05T23:05:55Z,Batchfile,5,29,908,906
